WorkerId,Input.text1,Input.text2,Input.text3,Input.text4,Input.text5,Answer.text1,Answer.text2,Answer.text3,Answer.text4,Answer.text5
AMT_Q42,"emily had a long list of chores to accomplish for the day . </s> she finished all of her tasks except for the laundry . </s> she was about to get started when she got called into work . </s> when emily came home , she found that her husband had done the laundry . </s> she was thrilled to not have to dive into the task that evening . </s> 
","the man next door seemed to be losing his mind . </s> he sat on the porch yelling at nobody . </s> everyone walked by . </s> he then kidnapped two aliens . </s> they listened attentively and decided not to fight him . </s> 
","the lights went out in tim 's house . </s> it would be hours before it was fixed . </s> tim was trying to use a flashlight with no batteries . </s> he took out the remote to turn them back on . </s> the lights worked just fine after tim returned . </s> 
","jesse had a large family . </s> his air conditioning broke . </s> the family had to move into an area where there was no heat all summer . </s> they had to use window units to cool off the windows . </s> the family cools off on the same unit every day . </s> 
","electric city record company hired charles as an intern . </s> three days a week charles would promote artists to the media by phone . </s> one day charles was hungry and called in sick to his internship . </s> his boss complained and told him he needed to make a good impression . </s> charles lashed out , all that money and you ca n't pay me nothing ? </s> 
",5,2,2,3,2
AMT_TMT,"emily had a long list of chores to accomplish for the day . </s> she finished all of her tasks except for the laundry . </s> she was about to get started when she got called into work . </s> when emily came home , she found that her husband had done the laundry . </s> she was thrilled to not have to dive into the task that evening . </s> 
","the man next door seemed to be losing his mind . </s> he sat on the porch yelling at nobody . </s> everyone walked by . </s> he then kidnapped two aliens . </s> they listened attentively and decided not to fight him . </s> 
","the lights went out in tim 's house . </s> it would be hours before it was fixed . </s> tim was trying to use a flashlight with no batteries . </s> he took out the remote to turn them back on . </s> the lights worked just fine after tim returned . </s> 
","jesse had a large family . </s> his air conditioning broke . </s> the family had to move into an area where there was no heat all summer . </s> they had to use window units to cool off the windows . </s> the family cools off on the same unit every day . </s> 
","electric city record company hired charles as an intern . </s> three days a week charles would promote artists to the media by phone . </s> one day charles was hungry and called in sick to his internship . </s> his boss complained and told him he needed to make a good impression . </s> charles lashed out , all that money and you ca n't pay me nothing ? </s> 
",5,3,3,1,5
AMT_PBZ,"joe was helping his dad clear out vines in the back yard . </s> all of a sudden he felt a sharp sting . </s> he looked and saw something flying around with red flowers . </s> joe ran and started running away from the bees chasing him . </s> unfortunately joe accidentally disturbed the bee hive . </s> 
","i went trick-or-treating in my neighborhood with my big brothers . </s> they were very serious about maximizing their candy load ! </s> maximizing the candy load was going to take some time , but it 's important ! </s> we needed to take a bathroom break and run to the mall to get something to eat . </s> my mom tried to help us get snacks before we ate . </s> 
","jesse was going to participate in the school play . ` . </s> she loved acting and enjoyed the people who were going to be with her . </s> yet , when the big day came her parents were busy and she had no ride . </s> she thought everything was hopeless and gave hope on going . </s> her friend knocked on her door with a ride ready to go . </s> 
","my father went to take a shower . </s> when he got out , he said his hair felt greasy . </s> he told me not to buy that kind of shampoo anymore . </s> confused , i went to see what he was talking about . </s> he had been using my conditioner and thought it was shampoo . </s> 
","we decided to carve pumpkins as a family . </s> so we picked out patterns we wanted to have done . </s> the kids picked out disney themed . </s> the adults decided to do game of thrones . </s> we all had so much fun and they looked great . </s> 
",2,3,3,5,5
AMT_BT5,"joe was helping his dad clear out vines in the back yard . </s> all of a sudden he felt a sharp sting . </s> he looked and saw something flying around with red flowers . </s> joe ran and started running away from the bees chasing him . </s> unfortunately joe accidentally disturbed the bee hive . </s> 
","i went trick-or-treating in my neighborhood with my big brothers . </s> they were very serious about maximizing their candy load ! </s> maximizing the candy load was going to take some time , but it 's important ! </s> we needed to take a bathroom break and run to the mall to get something to eat . </s> my mom tried to help us get snacks before we ate . </s> 
","jesse was going to participate in the school play . ` . </s> she loved acting and enjoyed the people who were going to be with her . </s> yet , when the big day came her parents were busy and she had no ride . </s> she thought everything was hopeless and gave hope on going . </s> her friend knocked on her door with a ride ready to go . </s> 
","my father went to take a shower . </s> when he got out , he said his hair felt greasy . </s> he told me not to buy that kind of shampoo anymore . </s> confused , i went to see what he was talking about . </s> he had been using my conditioner and thought it was shampoo . </s> 
","we decided to carve pumpkins as a family . </s> so we picked out patterns we wanted to have done . </s> the kids picked out disney themed . </s> the adults decided to do game of thrones . </s> we all had so much fun and they looked great . </s> 
",3,2,5,5,5
AMT_Q42,"joe was helping his dad clear out vines in the back yard . </s> all of a sudden he felt a sharp sting . </s> he looked and saw something flying around with red flowers . </s> joe ran and started running away from the bees chasing him . </s> unfortunately joe accidentally disturbed the bee hive . </s> 
","i went trick-or-treating in my neighborhood with my big brothers . </s> they were very serious about maximizing their candy load ! </s> maximizing the candy load was going to take some time , but it 's important ! </s> we needed to take a bathroom break and run to the mall to get something to eat . </s> my mom tried to help us get snacks before we ate . </s> 
","jesse was going to participate in the school play . ` . </s> she loved acting and enjoyed the people who were going to be with her . </s> yet , when the big day came her parents were busy and she had no ride . </s> she thought everything was hopeless and gave hope on going . </s> her friend knocked on her door with a ride ready to go . </s> 
","my father went to take a shower . </s> when he got out , he said his hair felt greasy . </s> he told me not to buy that kind of shampoo anymore . </s> confused , i went to see what he was talking about . </s> he had been using my conditioner and thought it was shampoo . </s> 
","we decided to carve pumpkins as a family . </s> so we picked out patterns we wanted to have done . </s> the kids picked out disney themed . </s> the adults decided to do game of thrones . </s> we all had so much fun and they looked great . </s> 
",2,2,3,5,5
AMT_SK1,"joe was helping his dad clear out vines in the back yard . </s> all of a sudden he felt a sharp sting . </s> he looked and saw something flying around with red flowers . </s> joe ran and started running away from the bees chasing him . </s> unfortunately joe accidentally disturbed the bee hive . </s> 
","i went trick-or-treating in my neighborhood with my big brothers . </s> they were very serious about maximizing their candy load ! </s> maximizing the candy load was going to take some time , but it 's important ! </s> we needed to take a bathroom break and run to the mall to get something to eat . </s> my mom tried to help us get snacks before we ate . </s> 
","jesse was going to participate in the school play . ` . </s> she loved acting and enjoyed the people who were going to be with her . </s> yet , when the big day came her parents were busy and she had no ride . </s> she thought everything was hopeless and gave hope on going . </s> her friend knocked on her door with a ride ready to go . </s> 
","my father went to take a shower . </s> when he got out , he said his hair felt greasy . </s> he told me not to buy that kind of shampoo anymore . </s> confused , i went to see what he was talking about . </s> he had been using my conditioner and thought it was shampoo . </s> 
","we decided to carve pumpkins as a family . </s> so we picked out patterns we wanted to have done . </s> the kids picked out disney themed . </s> the adults decided to do game of thrones . </s> we all had so much fun and they looked great . </s> 
",1,2,5,5,5
AMT_K0N,"joe was helping his dad clear out vines in the back yard . </s> all of a sudden he felt a sharp sting . </s> he looked and saw something flying around with red flowers . </s> joe ran and started running away from the bees chasing him . </s> unfortunately joe accidentally disturbed the bee hive . </s> 
","i went trick-or-treating in my neighborhood with my big brothers . </s> they were very serious about maximizing their candy load ! </s> maximizing the candy load was going to take some time , but it 's important ! </s> we needed to take a bathroom break and run to the mall to get something to eat . </s> my mom tried to help us get snacks before we ate . </s> 
","jesse was going to participate in the school play . ` . </s> she loved acting and enjoyed the people who were going to be with her . </s> yet , when the big day came her parents were busy and she had no ride . </s> she thought everything was hopeless and gave hope on going . </s> her friend knocked on her door with a ride ready to go . </s> 
","my father went to take a shower . </s> when he got out , he said his hair felt greasy . </s> he told me not to buy that kind of shampoo anymore . </s> confused , i went to see what he was talking about . </s> he had been using my conditioner and thought it was shampoo . </s> 
","we decided to carve pumpkins as a family . </s> so we picked out patterns we wanted to have done . </s> the kids picked out disney themed . </s> the adults decided to do game of thrones . </s> we all had so much fun and they looked great . </s> 
",1,3,5,5,5
AMT_K0N,"harry sat at the lunch table filled with dread . </s> he hated the cinnamon rolls in his lunch . </s> michael had given harry a slice of pizza . </s> harry did n't want to trade his pizza for the cinnamon rolls . </s> harry gave michael the pizza anyway and told him to leave . </s> 
","allie was invited by her boyfriend to his house . </s> she told him she would be there by noon . </s> but after she talked to him for hours , she had no idea where she was . </s> in the end , she did n't want to go there and she felt badly about it . </s> she left and felt badly about being there . </s> 
","i could n't get the place clean alone . </s> i had to go home and rest . </s> when i got there , my husband arrived home from work early . </s> he offered to go with me and help . </s> relieved , i took him with me and we cleaned up in no time . </s> 
","carl hated wearing glasses . </s> he decided to wear contacts . </s> the contacts began to irritate his eyes . </s> carl had to switch back to wearing glasses . </s> carl was upset . </s> 
","tom wanted to purchase a new computer . </s> tom spent a lot of time on his computer . </s> tom wanted to upgrade his machine . </s> tom researched many different types of computers . </s> tom found a great one and purchased it . </s> 
",1,2,5,5,3
AMT_TMT,"harry sat at the lunch table filled with dread . </s> he hated the cinnamon rolls in his lunch . </s> michael had given harry a slice of pizza . </s> harry did n't want to trade his pizza for the cinnamon rolls . </s> harry gave michael the pizza anyway and told him to leave . </s> 
","allie was invited by her boyfriend to his house . </s> she told him she would be there by noon . </s> but after she talked to him for hours , she had no idea where she was . </s> in the end , she did n't want to go there and she felt badly about it . </s> she left and felt badly about being there . </s> 
","i could n't get the place clean alone . </s> i had to go home and rest . </s> when i got there , my husband arrived home from work early . </s> he offered to go with me and help . </s> relieved , i took him with me and we cleaned up in no time . </s> 
","carl hated wearing glasses . </s> he decided to wear contacts . </s> the contacts began to irritate his eyes . </s> carl had to switch back to wearing glasses . </s> carl was upset . </s> 
","tom wanted to purchase a new computer . </s> tom spent a lot of time on his computer . </s> tom wanted to upgrade his machine . </s> tom researched many different types of computers . </s> tom found a great one and purchased it . </s> 
",1,1,5,5,5
AMT_Q42,"harry sat at the lunch table filled with dread . </s> he hated the cinnamon rolls in his lunch . </s> michael had given harry a slice of pizza . </s> harry did n't want to trade his pizza for the cinnamon rolls . </s> harry gave michael the pizza anyway and told him to leave . </s> 
","allie was invited by her boyfriend to his house . </s> she told him she would be there by noon . </s> but after she talked to him for hours , she had no idea where she was . </s> in the end , she did n't want to go there and she felt badly about it . </s> she left and felt badly about being there . </s> 
","i could n't get the place clean alone . </s> i had to go home and rest . </s> when i got there , my husband arrived home from work early . </s> he offered to go with me and help . </s> relieved , i took him with me and we cleaned up in no time . </s> 
","carl hated wearing glasses . </s> he decided to wear contacts . </s> the contacts began to irritate his eyes . </s> carl had to switch back to wearing glasses . </s> carl was upset . </s> 
","tom wanted to purchase a new computer . </s> tom spent a lot of time on his computer . </s> tom wanted to upgrade his machine . </s> tom researched many different types of computers . </s> tom found a great one and purchased it . </s> 
",2,2,5,5,3
AMT_SK1,"harry sat at the lunch table filled with dread . </s> he hated the cinnamon rolls in his lunch . </s> michael had given harry a slice of pizza . </s> harry did n't want to trade his pizza for the cinnamon rolls . </s> harry gave michael the pizza anyway and told him to leave . </s> 
","allie was invited by her boyfriend to his house . </s> she told him she would be there by noon . </s> but after she talked to him for hours , she had no idea where she was . </s> in the end , she did n't want to go there and she felt badly about it . </s> she left and felt badly about being there . </s> 
","i could n't get the place clean alone . </s> i had to go home and rest . </s> when i got there , my husband arrived home from work early . </s> he offered to go with me and help . </s> relieved , i took him with me and we cleaned up in no time . </s> 
","carl hated wearing glasses . </s> he decided to wear contacts . </s> the contacts began to irritate his eyes . </s> carl had to switch back to wearing glasses . </s> carl was upset . </s> 
","tom wanted to purchase a new computer . </s> tom spent a lot of time on his computer . </s> tom wanted to upgrade his machine . </s> tom researched many different types of computers . </s> tom found a great one and purchased it . </s> 
",1,2,5,5,2
AMT_PN1,"harry sat at the lunch table filled with dread . </s> he hated the cinnamon rolls in his lunch . </s> michael had given harry a slice of pizza . </s> harry did n't want to trade his pizza for the cinnamon rolls . </s> harry gave michael the pizza anyway and told him to leave . </s> 
","allie was invited by her boyfriend to his house . </s> she told him she would be there by noon . </s> but after she talked to him for hours , she had no idea where she was . </s> in the end , she did n't want to go there and she felt badly about it . </s> she left and felt badly about being there . </s> 
","i could n't get the place clean alone . </s> i had to go home and rest . </s> when i got there , my husband arrived home from work early . </s> he offered to go with me and help . </s> relieved , i took him with me and we cleaned up in no time . </s> 
","carl hated wearing glasses . </s> he decided to wear contacts . </s> the contacts began to irritate his eyes . </s> carl had to switch back to wearing glasses . </s> carl was upset . </s> 
","tom wanted to purchase a new computer . </s> tom spent a lot of time on his computer . </s> tom wanted to upgrade his machine . </s> tom researched many different types of computers . </s> tom found a great one and purchased it . </s> 
",2,3,5,5,5
AMT_SK1,"bill came upon a corral of horses . </s> the man down the road needed to sell them . </s> he purchased a pup a muffin . </s> they came in and he went back home . </s> bill can now live with his new friends . </s> 
","tina was pretty short . </s> her boyfriend was pretty tall . </s> one day they were having a fight . </s> they fought on each other 's shelves . </s> tina was annoyed and amused . </s> 
","joe wanted to be very smart . </s> he decided to make doing crosswords his hobby . </s> after he got over his fear he felt smarter . </s> joe lived a great life without doing crosswords daily . </s> he partially credited his success on crosswords daily . </s> 
","mariah wanted a cup of vanilla coffee from the coffee shop . </s> she got in the car and drove to the shop . </s> she ordered the milk and sugar . </s> the cashier gave her the coffee , and she took a sip </s> she crunched up the coffee and threw it away . </s> 
","anna was making a rice-based dish for her family for dinner . </s> she tried to do everything perfectly . </s> but she over boiled the rice , and it turned to mush ! </s> she had to improvise and fry it into paella . </s> her family enjoyed the strange but tasty treat . </s> 
",0,1,0,3,5
AMT_RGT,"bill came upon a corral of horses . </s> the man down the road needed to sell them . </s> he purchased a pup a muffin . </s> they came in and he went back home . </s> bill can now live with his new friends . </s> 
","tina was pretty short . </s> her boyfriend was pretty tall . </s> one day they were having a fight . </s> they fought on each other 's shelves . </s> tina was annoyed and amused . </s> 
","joe wanted to be very smart . </s> he decided to make doing crosswords his hobby . </s> after he got over his fear he felt smarter . </s> joe lived a great life without doing crosswords daily . </s> he partially credited his success on crosswords daily . </s> 
","mariah wanted a cup of vanilla coffee from the coffee shop . </s> she got in the car and drove to the shop . </s> she ordered the milk and sugar . </s> the cashier gave her the coffee , and she took a sip </s> she crunched up the coffee and threw it away . </s> 
","anna was making a rice-based dish for her family for dinner . </s> she tried to do everything perfectly . </s> but she over boiled the rice , and it turned to mush ! </s> she had to improvise and fry it into paella . </s> her family enjoyed the strange but tasty treat . </s> 
",1,2,2,2,5
AMT_5S1,"bill came upon a corral of horses . </s> the man down the road needed to sell them . </s> he purchased a pup a muffin . </s> they came in and he went back home . </s> bill can now live with his new friends . </s> 
","tina was pretty short . </s> her boyfriend was pretty tall . </s> one day they were having a fight . </s> they fought on each other 's shelves . </s> tina was annoyed and amused . </s> 
","joe wanted to be very smart . </s> he decided to make doing crosswords his hobby . </s> after he got over his fear he felt smarter . </s> joe lived a great life without doing crosswords daily . </s> he partially credited his success on crosswords daily . </s> 
","mariah wanted a cup of vanilla coffee from the coffee shop . </s> she got in the car and drove to the shop . </s> she ordered the milk and sugar . </s> the cashier gave her the coffee , and she took a sip </s> she crunched up the coffee and threw it away . </s> 
","anna was making a rice-based dish for her family for dinner . </s> she tried to do everything perfectly . </s> but she over boiled the rice , and it turned to mush ! </s> she had to improvise and fry it into paella . </s> her family enjoyed the strange but tasty treat . </s> 
",0,1,1,3,5
